order_week,segment,total_orders,total_partial_orders,partial_orders_%,expected_commission,short_partial_orders,long_partial_orders,short_partial_%,long_partial_%,actual_fare,estimated_fare,uniq_captain,partial_uniq_captain,uniq_customer,partial_uniq_customer
2022-08-01,6. MP Intra/Inter,238013,5199,12.3,88183.99999999978,2423,2776,11.52,13.09,167748.5,440920.0,21832,4160,212915,5134
2022-08-01,7. LP Daily,135337,3045,7.21,58555.40000000004,1016,2029,4.83,9.56,104861.5,292777.0,16495,2592,123871,3021
2022-08-01,8. LP Intra/Inter,230268,5834,13.81,106672.4,1884,3950,8.95,18.62,189228.0,533362.0,63180,5137,201438,5767
2022-10-24,0. New,1239,195,0.68,2436.600000000001,89,106,0.74,0.63,4767.0,12183.0,214,129,1233,194
2022-10-24,1. UHP Daily,75313,1035,3.59,12845.799999999963,703,332,5.87,1.97,31158.0,64229.0,1163,595,65339,1019
2022-10-24,2. UHP Intra/Inter,21384,284,0.99,3411.600000000001,198,86,1.65,0.51,8918.0,17058.0,458,178,19744,281
2022-10-24,3. HP Daily,265256,4216,14.62,60006.80000000031,2256,1960,18.83,11.63,115188.0,300034.0,6725,2662,210709,4145
2022-10-24,4. HP Intra/Inter,65422,1042,3.61,14750.399999999981,592,450,4.94,2.67,28879.0,73752.0,2604,705,60632,1028
2022-10-24,5. MP Daily,437192,7913,27.45,124096.20000000001,3494,4419,29.16,26.23,219457.0,620481.0,28078,5957,358154,7825
2022-10-24,6. MP Intra/Inter,208418,4257,14.77,68153.80000000018,1851,2406,15.45,14.28,120821.0,340769.0,22799,3280,187306,4218
2022-10-24,7. LP Daily,115678,2310,8.01,39305.799999999996,688,1622,5.74,9.63,58164.0,196529.0,14906,1786,106534,2293
2022-10-24,8. LP Intra/Inter,253468,7578,26.29,122603.40000000014,2110,5468,17.61,32.45,187124.0,613017.0,73609,4876,220958,7494
2022-10-17,0. New,1899,221,0.58,2880.800000000003,108,113,0.66,0.52,5441.0,14404.0,271,154,1871,213
2022-10-17,1. UHP Daily,116570,1982,5.17,25654.000000000065,1365,617,8.32,2.82,55930.0,128270.0,1428,943,96619,1937
2022-10-17,2. UHP Intra/Inter,31009,417,1.09,4845.199999999998,302,115,1.84,0.53,12352.0,24226.0,492,232,28492,415
2022-10-17,3. HP Daily,346856,6196,16.18,91070.80000000022,3422,2774,20.85,12.67,165008.0,455354.0,7568,3717,273366,6085
2022-10-17,4. HP Intra/Inter,93324,1583,4.13,22114.000000000007,961,622,5.86,2.84,42989.0,110570.0,2898,1059,84675,1566
2022-10-17,5. MP Daily,574490,11012,28.75,177687.80000000002,4758,6254,28.99,28.57,306543.0,888439.0,32676,8206,458465,10844
2022-10-17,6. MP Intra/Inter,247002,5234,13.66,85872.00000000026,2267,2967,13.81,13.55,148236.0,429360.0,23685,4004,220441,5189
2022-10-17,7. LP Daily,136474,3058,7.98,53226.99999999999,857,2201,5.22,10.05,79508.0,266135.0,17552,2456,125286,3024
2022-10-17,8. LP Intra/Inter,277515,8601,22.45,144309.20000000027,2373,6228,14.46,28.45,217493.0,721546.0,78433,5866,241728,8499
2022-10-10,0. New,2133,233,0.6,3007.2,101,132,0.61,0.59,5720.0,15036.0,414,165,2103,227
2022-10-10,1. UHP Daily,114251,1919,4.95,27887.000000000065,1338,581,8.15,2.6,52952.0,139435.0,1356,907,93071,1861
2022-10-10,2. UHP Intra/Inter,17807,311,0.8,4680.8,193,118,1.17,0.53,9233.0,23404.0,396,176,16903,308
2022-10-10,3. HP Daily,353015,6131,15.83,103052.19999999952,3310,2821,20.15,12.65,163335.0,515261.0,7492,3666,276933,6038
2022-10-10,4. HP Intra/Inter,76527,1341,3.46,23293.2,746,595,4.54,2.67,35325.0,116466.0,2691,917,71469,1329
2022-10-10,5. MP Daily,604806,11729,30.28,203707.1999999996,5141,6588,31.3,29.53,325380.0,1018536.0,33723,8838,476147,11542
2022-10-10,6. MP Intra/Inter,254372,5340,13.79,92679.80000000002,2354,2986,14.33,13.39,149088.0,463399.0,24500,4150,227157,5296
2022-10-10,7. LP Daily,145020,3190,8.24,59767.000000000015,930,2260,5.66,10.13,82812.0,298835.0,18274,2532,132023,3161
2022-10-10,8. LP Intra/Inter,278378,8540,22.05,147401.99999999997,2314,6226,14.09,27.91,215789.0,737010.0,78944,5908,240865,8440
2022-10-03,0. New,13838,597,1.68,7830.6,357,240,2.35,1.18,17131.0,39153.0,2699,435,10874,567
2022-10-03,1. UHP Daily,103405,1687,4.75,25484.40000000006,1209,478,7.96,2.35,54287.0,127422.0,1572,879,85239,1638
2022-10-03,2. UHP Intra/Inter,13457,238,0.67,3769.1999999999985,156,82,1.03,0.4,8037.0,18846.0,411,130,12693,232
2022-10-03,3. HP Daily,321726,5446,15.34,96356.3999999992,2888,2558,19.01,12.6,182507.0,481782.0,7309,3406,258433,5353
2022-10-03,4. HP Intra/Inter,65711,1155,3.25,20193.600000000013,601,554,3.96,2.73,34849.0,100968.0,2400,773,62456,1150
2022-10-03,5. MP Daily,592185,11863,33.42,210922.1999999993,5135,6728,33.81,33.13,380681.0,1054611.0,33735,8851,472593,11685
2022-10-03,6. MP Intra/Inter,222852,4656,13.12,82569.80000000008,1970,2686,12.97,13.23,144075.0,412849.0,22123,3652,203295,4619
2022-10-03,7. LP Daily,136765,2937,8.27,55415.39999999999,901,2036,5.93,10.03,94116.0,277077.0,18162,2408,125154,2921
2022-10-03,8. LP Intra/Inter,238489,6919,19.49,121362.40000000007,1972,4947,12.98,24.36,200592.0,606812.0,70159,5072,210000,6884
2022-09-26,0. New,23447,823,2.04,10485.800000000012,505,318,2.74,1.45,24151.0,52429.0,4436,663,17608,779
2022-09-26,1. UHP Daily,120457,1847,4.57,28418.00000000007,1344,503,7.29,2.29,67393.0,142090.0,1656,916,92958,1772
2022-09-26,2. UHP Intra/Inter,18587,291,0.72,4817.799999999994,215,76,1.17,0.35,12297.0,24089.0,446,153,15901,273
2022-09-26,3. HP Daily,349115,6157,15.24,109138.39999999889,3535,2622,19.17,11.94,224827.0,545692.0,7427,3702,269100,6024
2022-09-26,4. HP Intra/Inter,76078,1388,3.44,24413.00000000006,817,571,4.43,2.6,45460.0,122065.0,2526,893,69700,1371
2022-09-26,5. MP Daily,635366,12448,30.81,219514.39999999988,5788,6660,31.38,30.32,415371.0,1097572.0,34815,9387,489444,12237
2022-09-26,6. MP Intra/Inter,253464,5261,13.02,92444.3999999999,2428,2833,13.16,12.9,167185.0,462222.0,23348,4074,225229,5212
2022-09-26,7. LP Daily,165363,3752,9.29,70568.60000000011,1236,2516,6.7,11.46,123452.0,352843.0,19927,3023,148726,3730
2022-09-26,8. LP Intra/Inter,294193,8440,20.89,149899.39999999994,2576,5864,13.97,26.7,252768.0,749497.0,78965,6243,252320,8342
2022-09-19,0. New,85311,2383,6.01,33576.40000000005,1336,1047,7.15,4.99,73165.0,167882.0,12925,1917,58583,2270
2022-09-19,1. UHP Daily,116919,1986,5.01,30766.800000000138,1430,556,7.65,2.65,72357.0,153834.0,1501,966,90758,1891
2022-09-19,2. UHP Intra/Inter,29762,376,0.95,6031.79999999999,291,85,1.56,0.41,15129.0,30159.0,627,216,19338,366
2022-09-19,3. HP Daily,327807,5588,14.09,98096.59999999926,3234,2354,17.3,11.23,208840.0,490483.0,7251,3472,251409,5436
2022-09-19,4. HP Intra/Inter,76738,1392,3.51,23921.00000000006,839,553,4.49,2.64,47914.0,119605.0,2607,876,68033,1356
2022-09-19,5. MP Daily,584622,11371,28.67,198302.19999999925,5381,5990,28.79,28.57,377381.0,991511.0,31782,8572,449187,11176
2022-09-19,6. MP Intra/Inter,249137,5113,12.89,90000.80000000002,2439,2674,13.05,12.75,171429.0,450004.0,22796,4036,218297,5056
2022-09-19,7. LP Daily,152862,3377,8.52,63608.20000000004,1157,2220,6.19,10.59,112186.0,318041.0,18071,2745,137299,3349
2022-09-19,8. LP Intra/Inter,290016,8070,20.35,141233.7999999999,2584,5486,13.82,26.17,247022.0,706169.0,76507,6132,245696,7966
2022-09-12,0. New,85771,2196,5.62,152346.79999999996,1243,953,6.75,4.61,67320.0,761734.0,12337,1816,59687,2086
2022-09-12,1. UHP Daily,128035,2046,5.23,31285.800000000054,1542,504,8.38,2.44,77543.0,156429.0,1594,971,98313,1955
2022-09-12,2. UHP Intra/Inter,30643,415,1.06,6546.799999999997,319,96,1.73,0.46,16332.0,32734.0,644,223,21404,397
2022-09-12,3. HP Daily,338250,5793,14.82,100973.99999999897,3346,2447,18.17,11.83,214899.0,504870.0,7267,3586,259781,5667
2022-09-12,4. HP Intra/Inter,76839,1321,3.38,22401.60000000006,808,513,4.39,2.48,45827.0,112008.0,2642,888,69231,1299
2022-09-12,5. MP Daily,574504,11439,29.26,199167.59999999937,5420,6019,29.44,29.11,383342.0,995838.0,30603,8664,444812,11234
2022-09-12,6. MP Intra/Inter,234590,4834,12.37,85229.59999999989,2246,2588,12.2,12.52,163774.0,426148.0,21709,3845,208261,4788
2022-09-12,7. LP Daily,148984,3314,8.48,61756.80000000004,1078,2236,5.86,10.81,111367.0,308784.0,17163,2730,134091,3296
2022-09-12,8. LP Intra/Inter,275956,7731,19.78,139209.59999999983,2409,5322,13.08,25.74,239938.0,696048.0,72875,6013,237230,7658
2022-09-05,0. New,84206,2244,5.68,32760.800000000054,1161,1083,6.4,5.07,68907.0,163804.0,11480,1826,60086,2163
2022-09-05,1. UHP Daily,137768,2326,5.89,36186.999999999876,1711,615,9.43,2.88,90074.0,180935.0,1722,1120,106603,2231
2022-09-05,2. UHP Intra/Inter,32911,522,1.32,8565.000000000015,415,107,2.29,0.5,21610.0,42825.0,597,246,23330,504
2022-09-05,3. HP Daily,336003,6561,16.61,116372.39999999844,3725,2836,20.54,13.27,245269.0,581862.0,7331,3884,267197,6444
2022-09-05,4. HP Intra/Inter,71944,1307,3.31,23006.00000000007,762,545,4.2,2.55,45430.0,115030.0,2601,891,67187,1292
2022-09-05,5. MP Daily,542999,11640,29.47,208134.39999999944,5236,6404,28.87,29.97,398149.0,1040672.0,29521,8682,436597,11488
2022-09-05,6. MP Intra/Inter,216774,4929,12.48,88381.39999999976,2143,2786,11.81,13.04,161802.0,441907.0,20831,3794,197008,4893
2022-09-05,7. LP Daily,126224,3111,7.88,61869.80000000005,953,2158,5.25,10.1,109599.0,309349.0,15554,2605,116169,3081
2022-09-05,8. LP Intra/Inter,237170,6864,17.38,128692.39999999978,2032,4832,11.2,22.62,215325.0,643462.0,66982,5518,209624,6799
2022-08-29,0. New,79365,2184,5.75,30786.800000000097,1155,1029,6.44,5.14,67227.0,153934.0,11475,1774,55439,2092
2022-08-29,1. UHP Daily,146849,2418,6.37,36764.99999999987,1788,630,9.96,3.15,93832.0,183825.0,1817,1139,110259,2330
2022-08-29,2. UHP Intra/Inter,25413,387,1.02,5881.9999999999945,281,106,1.57,0.53,14777.0,29410.0,518,223,21517,382
2022-08-29,3. HP Daily,337603,6259,16.49,110026.99999999852,3515,2744,19.59,13.71,239441.0,550135.0,7689,3865,265463,6146
2022-08-29,4. HP Intra/Inter,71046,1323,3.49,22897.80000000008,762,561,4.25,2.8,47377.5,114489.0,2654,882,65723,1299
2022-08-29,5. MP Daily,520748,11145,29.36,196967.59999999893,5088,6057,28.36,30.26,389794.0,984838.0,29590,8296,417868,10977
2022-08-29,6. MP Intra/Inter,216408,4858,12.8,83350.19999999975,2254,2604,12.56,13.01,156974.0,416751.0,21844,3768,195686,4827
2022-08-29,7. LP Daily,121694,2854,7.52,54758.000000000015,967,1887,5.39,9.43,98901.0,273790.0,15218,2382,111967,2831
2022-08-29,8. LP Intra/Inter,239954,6534,17.21,117608.7999999999,2133,4401,11.89,21.98,204011.5,588044.0,66784,5399,210382,6472
2022-12-19,0. New,1645,267,0.68,2866.9999999999995,93,174,0.58,0.74,6230.0,14335.0,260,174,1620,260
2022-12-19,1. UHP Daily,153023,1908,4.84,21506.199999999986,1408,500,8.8,2.14,51859.0,107531.0,1625,975,109883,1855
2022-12-19,2. UHP Intra/Inter,31453,344,0.87,3775.800000000002,270,74,1.69,0.32,9473.0,18879.0,571,218,26134,334
2022-12-19,3. HP Daily,317378,5236,13.28,72443.00000000028,2798,2438,17.49,10.41,132418.0,362215.0,6634,3172,254122,5114
2022-12-19,4. HP Intra/Inter,68939,1146,2.91,16216.999999999978,608,538,3.8,2.3,28401.0,81085.0,2432,770,64772,1139
2022-12-19,5. MP Daily,579899,11481,29.13,178883.60000000024,4880,6601,30.5,28.19,286127.0,894418.0,32449,8665,460784,11280
2022-12-19,6. MP Intra/Inter,221835,4623,11.73,71839.80000000003,2064,2559,12.9,10.93,112264.0,359199.0,21621,3630,200235,4593
2022-12-19,7. LP Daily,171974,4129,10.47,66976.79999999996,1138,2991,7.11,12.77,102192.0,334884.0,20598,3196,155799,4092
2022-12-19,8. LP Intra/Inter,303357,10284,26.09,153279.79999999996,2743,7541,17.14,32.2,238425.0,766399.0,85331,7078,261823,10133
2022-12-12,0. New,1937,445,0.97,4937.599999999998,129,316,0.79,1.07,9436.0,24688.0,248,161,1907,438
2022-12-12,1. UHP Daily,159989,1860,4.05,19713.59999999986,1430,430,8.74,1.46,50713.0,98568.0,1686,965,113425,1810
2022-12-12,2. UHP Intra/Inter,39111,448,0.98,4604.800000000006,344,104,2.1,0.35,12669.0,23024.0,625,249,29164,431
2022-12-12,3. HP Daily,313706,5258,11.46,73590.60000000033,2697,2561,16.49,8.67,132263.0,367953.0,6489,3139,256095,5163
2022-12-12,4. HP Intra/Inter,74201,1295,2.82,18274.799999999977,688,607,4.21,2.06,32066.0,91374.0,2518,872,69823,1276
2022-12-12,5. MP Daily,575695,12156,26.5,187233.6000000011,4835,7321,29.56,24.8,298134.0,936168.0,31805,8600,460626,11949
2022-12-12,6. MP Intra/Inter,224153,5158,11.24,80807.00000000003,2002,3156,12.24,10.69,122634.0,404035.0,21242,3761,202547,5105
2022-12-12,7. LP Daily,166533,5008,10.92,77748.9999999999,1177,3831,7.2,12.98,118527.0,388745.0,20107,3132,152050,4970
2022-12-12,8. LP Intra/Inter,290258,14250,31.06,198792.8000000003,3054,11196,18.67,37.92,316984.0,993964.0,81312,7017,253372,14018
2022-12-05,0. New,1557,342,0.76,3611.2000000000025,132,210,0.8,0.74,7519.0,18056.0,260,176,1529,332
2022-12-05,1. UHP Daily,169599,1894,4.23,20867.599999999853,1422,472,8.66,1.66,51725.0,104338.0,1734,1021,116275,1839
2022-12-05,2. UHP Intra/Inter,28670,338,0.75,3544.4000000000055,267,71,1.63,0.25,9449.0,17722.0,554,200,24742,336
2022-12-05,3. HP Daily,309373,5372,11.99,73299.00000000033,2762,2610,16.81,9.19,135496.0,366495.0,6271,3059,251032,5279
2022-12-05,4. HP Intra/Inter,71195,1213,2.71,17139.79999999998,638,575,3.88,2.03,30717.0,85699.0,2453,821,67248,1205
2022-12-05,5. MP Daily,580014,12161,27.13,183433.00000000125,4931,7230,30.01,25.47,300894.0,917165.0,31374,8472,464844,11955
2022-12-05,6. MP Intra/Inter,217284,4991,11.14,75449.00000000009,1974,3017,12.02,10.63,122028.0,377245.0,20474,3588,197519,4950
2022-12-05,7. LP Daily,173553,4985,11.12,73903.7999999999,1289,3696,7.85,13.02,117962.0,369519.0,20576,3126,157563,4945
2022-12-05,8. LP Intra/Inter,290128,13524,30.17,184837.80000000048,3014,10510,18.35,37.02,303612.0,924189.0,80280,6674,251764,13353
2022-11-28,0. New,1392,362,0.84,3706.800000000009,134,228,0.79,0.87,8231.0,18534.0,277,193,1355,337
2022-11-28,1. UHP Daily,162298,1896,4.4,21430.99999999988,1427,469,8.42,1.79,53486.0,107155.0,1739,1001,112561,1843
2022-11-28,2. UHP Intra/Inter,24724,332,0.77,3785.800000000002,267,65,1.58,0.25,10384.0,18929.0,461,182,21439,322
2022-11-28,3. HP Daily,291999,4950,11.48,66024.80000000035,2692,2258,15.89,8.62,130107.0,330124.0,6090,2966,233856,4868
2022-11-28,4. HP Intra/Inter,65367,1142,2.65,15673.399999999989,649,493,3.83,1.88,30073.0,78367.0,2288,753,61355,1126
2022-11-28,5. MP Daily,560964,11821,27.4,174132.80000000118,5173,6648,30.53,25.38,306634.0,870664.0,31250,8255,444814,11576
2022-11-28,6. MP Intra/Inter,213985,4658,10.8,69299.4000000001,2041,2617,12.04,9.99,124618.0,346497.0,20442,3493,192745,4614
2022-11-28,7. LP Daily,176390,4888,11.33,75372.79999999986,1321,3567,7.8,13.62,119430.0,376864.0,21157,3229,159368,4839
2022-11-28,8. LP Intra/Inter,295312,13086,30.34,179570.80000000083,3241,9845,19.13,37.59,306671.0,897854.0,82013,6659,254942,12904
2022-11-21,0. New,1854,353,0.87,3880.8000000000034,131,222,0.79,0.93,8205.0,19404.0,273,191,1816,336
2022-11-21,1. UHP Daily,152071,1791,4.42,19853.79999999989,1330,461,8.02,1.92,52198.0,99269.0,1718,930,107807,1727
2022-11-21,2. UHP Intra/Inter,22552,320,0.79,3652.600000000003,245,75,1.48,0.31,10231.0,18263.0,456,186,20791,310
2022-11-21,3. HP Daily,295389,4864,12.0,65382.40000000029,2673,2191,16.13,9.15,130186.0,326912.0,6232,2936,234723,4781
2022-11-21,4. HP Intra/Inter,71189,1190,2.94,15660.999999999989,681,509,4.11,2.13,32583.0,78305.0,2400,782,66050,1172
2022-11-21,5. MP Daily,541876,11012,27.17,164023.60000000102,4904,6108,29.59,25.5,291313.0,820118.0,31047,7719,428139,10827
2022-11-21,6. MP Intra/Inter,213644,4570,11.28,68786.20000000003,2044,2526,12.33,10.55,126357.0,343931.0,21247,3428,190793,4535
2022-11-21,7. LP Daily,169883,4435,10.94,68527.3999999999,1258,3177,7.59,13.27,109397.0,342637.0,20917,3065,152948,4390
2022-11-21,8. LP Intra/Inter,294977,11989,29.58,173816.40000000055,3308,8681,19.96,36.25,290890.0,869082.0,82953,6533,252863,11838
2022-11-14,0. New,1510,294,0.75,3560.8000000000025,113,181,0.71,0.78,7010.0,17804.0,281,195,1491,284
2022-11-14,1. UHP Daily,142588,1833,4.67,20419.399999999823,1352,481,8.45,2.07,51348.0,102097.0,1547,953,105616,1782
2022-11-14,2. UHP Intra/Inter,30873,382,0.97,4271.400000000007,285,97,1.78,0.42,10992.0,21357.0,525,220,27979,380
2022-11-14,3. HP Daily,301886,5100,13.01,71277.60000000044,2779,2321,17.38,10.0,135656.0,356388.0,6138,3010,240141,5013
2022-11-14,4. HP Intra/Inter,77059,1287,3.28,17962.39999999997,713,574,4.46,2.47,34729.0,89812.0,2583,820,71318,1269
2022-11-14,5. MP Daily,522100,10311,26.29,157187.80000000086,4441,5870,27.77,25.28,272360.0,785939.0,28945,7386,415943,10166
2022-11-14,6. MP Intra/Inter,230163,4937,12.59,75240.6000000001,2164,2773,13.53,11.94,130668.0,376203.0,22792,3483,203531,4886
2022-11-14,7. LP Daily,153395,3850,9.82,63274.999999999905,1092,2758,6.83,11.88,93935.0,316375.0,18657,2676,139107,3809
2022-11-14,8. LP Intra/Inter,296022,11220,28.61,176493.80000000042,3054,8166,19.1,35.17,268568.0,882469.0,83346,6166,251764,11075
2022-11-07,0. New,1285,238,0.61,2823.2000000000016,98,140,0.61,0.61,6075.0,14116.0,239,154,1274,233
2022-11-07,1. UHP Daily,126766,1743,4.48,20080.39999999992,1268,475,7.94,2.07,49610.0,100402.0,1500,886,97691,1702
2022-11-07,2. UHP Intra/Inter,25360,365,0.94,4130.600000000003,271,94,1.7,0.41,10713.0,20653.0,482,209,23235,365
2022-11-07,3. HP Daily,301033,5201,13.38,73591.8000000002,2757,2444,17.26,10.67,140285.0,367959.0,6351,3059,240855,5100
2022-11-07,4. HP Intra/Inter,73685,1346,3.46,19090.399999999976,737,609,4.61,2.66,37423.0,95452.0,2729,892,68880,1334
2022-11-07,5. MP Daily,529217,10572,27.2,164373.6000000004,4579,5993,28.67,26.17,288320.0,821868.0,29183,7541,424627,10418
2022-11-07,6. MP Intra/Inter,238644,5148,13.24,79901.80000000006,2274,2874,14.24,12.55,144405.0,399509.0,23494,3737,212748,5088
2022-11-07,7. LP Daily,154243,3804,9.79,62053.19999999998,1110,2694,6.95,11.76,94895.0,310266.0,18188,2656,139950,3754
2022-11-07,8. LP Intra/Inter,296053,10453,26.89,165826.0000000004,2877,7576,18.01,33.08,258869.0,829130.0,81811,6047,253343,10344
2022-10-31,0. New,1372,247,0.66,2883.400000000001,142,105,0.91,0.47,6412.0,14417.0,265,177,1357,237
2022-10-31,1. UHP Daily,114114,1681,4.46,20377.600000000013,1139,542,7.3,2.45,47874.0,101888.0,1408,839,91384,1646
2022-10-31,2. UHP Intra/Inter,21784,282,0.75,3554.3999999999987,197,85,1.26,0.38,8396.0,17772.0,496,176,20458,282
2022-10-31,3. HP Daily,305224,5261,13.95,76196.00000000041,2835,2426,18.18,10.97,142865.0,380980.0,6719,3108,243296,5172
2022-10-31,4. HP Intra/Inter,69744,1240,3.29,18486.599999999984,688,552,4.41,2.5,34371.0,92433.0,2682,814,65353,1226
2022-10-31,5. MP Daily,544547,10560,28.01,165095.00000000023,4645,5915,29.78,26.75,288649.0,825475.0,29487,7514,434234,10411
2022-10-31,6. MP Intra/Inter,237536,4976,13.2,79322.40000000017,2212,2764,14.18,12.5,143942.0,396612.0,23437,3804,212627,4935
2022-10-31,7. LP Daily,152555,3553,9.42,58941.399999999965,1047,2506,6.71,11.33,88186.0,294707.0,17507,2543,138825,3506
2022-10-31,8. LP Intra/Inter,301884,9905,26.27,157250.20000000036,2691,7214,17.25,32.63,247657.0,786251.0,81455,5911,257956,9802
2023-02-13,0. New,5074,490,0.55,6153.799999999999,288,202,0.5,0.62,11925.0,30769.0,1861,386,4968,460
2023-02-13,1. UHP Daily,150060,8675,9.7,87283.19999999744,7755,920,13.58,2.85,235050.0,436416.0,1492,1343,109567,8024
2023-02-13,2. UHP Intra/Inter,44162,2429,2.72,24784.40000000022,2175,254,3.81,0.79,65645.0,123922.0,713,539,37336,2280
2023-02-13,3. HP Daily,338529,17070,19.09,235843.99999999694,12174,4896,21.32,15.14,416916.0,1179220.0,7533,5830,278747,16307
2023-02-13,4. HP Intra/Inter,94738,4921,5.5,67747.20000000016,3641,1280,6.38,3.96,118319.0,338736.0,3391,2033,88378,4839
2023-02-13,5. MP Daily,540690,24473,27.37,370764.39999999764,14931,9542,26.15,29.51,597869.0,1853822.0,31076,14772,436638,23665
2023-02-13,6. MP Intra/Inter,222467,10806,12.08,162278.39999999997,6738,4068,11.8,12.58,263616.0,811392.0,22233,7325,200875,10640
2023-02-13,7. LP Daily,156179,6593,7.37,107698.40000000011,2924,3669,5.12,11.35,162716.0,538492.0,19227,4945,142141,6530
2023-02-13,8. LP Intra/Inter,291050,13966,15.62,225802.59999999974,6467,7499,11.33,23.2,337035.0,1129013.0,83431,11321,251338,13728
2023-02-06,0. New,2025,287,0.27,3167.400000000002,162,125,0.23,0.37,6692.0,15837.0,342,211,1954,268
