order_week,pickup_cluster,cluster_orders,cluster_net_customers,income_segment,ps_tag_link,ps_tag_auto,segment_level_orders,segment_level_orders%,segment_level_customers,segment_level_customers%
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,UNKNOWN,NPS,932,3.29,784,3.76
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,UNKNOWN,PS,673,2.38,533,2.55
13/03/23,Attapur 2,28314,20866,HIGH_INCOME,UNKNOWN,UNKNOWN,3143,11.1,2508,12.02
13/03/23,Attapur 2,28314,20866,LOW_INCOME,NPS,NPS,3090,10.91,1978,9.48
13/03/23,Attapur 2,28314,20866,LOW_INCOME,NPS,PS,2076,7.33,1343,6.44
13/03/23,Attapur 2,28314,20866,LOW_INCOME,NPS,UNKNOWN,1613,5.7,1052,5.04
13/03/23,Attapur 2,28314,20866,LOW_INCOME,PS,NPS,1388,4.9,950,4.55
13/03/23,Attapur 2,28314,20866,LOW_INCOME,PS,PS,868,3.07,603,2.89
13/03/23,Attapur 2,28314,20866,LOW_INCOME,PS,UNKNOWN,894,3.16,618,2.96
13/03/23,Attapur 2,28314,20866,LOW_INCOME,UNKNOWN,NPS,1862,6.58,1530,7.33
13/03/23,Attapur 2,28314,20866,LOW_INCOME,UNKNOWN,PS,1280,4.52,1070,5.13
13/03/23,Attapur 2,28314,20866,LOW_INCOME,UNKNOWN,UNKNOWN,2160,7.63,2009,9.63
13/03/23,Attapur 2,28314,20866,UNKNOWN,NPS,NPS,487,1.72,322,1.54
13/03/23,Attapur 2,28314,20866,UNKNOWN,NPS,PS,292,1.03,198,0.95
13/03/23,Attapur 2,28314,20866,UNKNOWN,NPS,UNKNOWN,289,1.02,178,0.85
13/03/23,Attapur 2,28314,20866,UNKNOWN,PS,NPS,229,0.81,147,0.7
13/03/23,Attapur 2,28314,20866,UNKNOWN,PS,PS,132,0.47,89,0.43
13/03/23,Attapur 2,28314,20866,UNKNOWN,PS,UNKNOWN,140,0.49,100,0.48
13/03/23,Attapur 2,28314,20866,UNKNOWN,UNKNOWN,NPS,244,0.86,207,0.99
13/03/23,Attapur 2,28314,20866,UNKNOWN,UNKNOWN,PS,199,0.7,154,0.74
13/03/23,Attapur 2,28314,20866,UNKNOWN,UNKNOWN,UNKNOWN,797,2.81,687,3.29
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,NPS,NPS,1665,6.33,1033,5.59
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,NPS,PS,1037,3.94,667,3.61
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,NPS,UNKNOWN,1002,3.81,649,3.51
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,PS,NPS,765,2.91,534,2.89
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,PS,PS,527,2,360,1.95
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,PS,UNKNOWN,517,1.97,399,2.16
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,UNKNOWN,NPS,716,2.72,569,3.08
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,UNKNOWN,PS,567,2.16,439,2.37
13/03/23,Mehedipatnam,26291,18490,HIGH_INCOME,UNKNOWN,UNKNOWN,3865,14.7,2943,15.92
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,NPS,NPS,2791,10.62,1681,9.09
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,NPS,PS,1842,7.01,1145,6.19
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,NPS,UNKNOWN,1801,6.85,1153,6.24
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,PS,NPS,1231,4.68,840,4.54
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,PS,PS,859,3.27,545,2.95
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,PS,UNKNOWN,837,3.18,621,3.36
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,UNKNOWN,NPS,1237,4.71,982,5.31
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,UNKNOWN,PS,882,3.35,680,3.68
13/03/23,Mehedipatnam,26291,18490,LOW_INCOME,UNKNOWN,UNKNOWN,1530,5.82,1396,7.55
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,NPS,NPS,470,1.79,286,1.55
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,NPS,PS,307,1.17,206,1.11
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,NPS,UNKNOWN,312,1.19,212,1.15
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,PS,NPS,169,0.64,114,0.62
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,PS,PS,124,0.47,88,0.48
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,PS,UNKNOWN,132,0.5,100,0.54
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,UNKNOWN,NPS,210,0.8,154,0.83
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,UNKNOWN,PS,142,0.54,108,0.58
13/03/23,Mehedipatnam,26291,18490,UNKNOWN,UNKNOWN,UNKNOWN,754,2.87,586,3.17
13/03/23,AOC Center,25447,17209,HIGH_INCOME,NPS,NPS,1565,6.15,860,5
13/03/23,AOC Center,25447,17209,HIGH_INCOME,NPS,PS,997,3.92,604,3.51
13/03/23,AOC Center,25447,17209,HIGH_INCOME,NPS,UNKNOWN,788,3.1,524,3.04
13/03/23,AOC Center,25447,17209,HIGH_INCOME,PS,NPS,741,2.91,494,2.87
13/03/23,AOC Center,25447,17209,HIGH_INCOME,PS,PS,513,2.02,331,1.92
13/03/23,AOC Center,25447,17209,HIGH_INCOME,PS,UNKNOWN,502,1.97,371,2.16
13/03/23,AOC Center,25447,17209,HIGH_INCOME,UNKNOWN,NPS,707,2.78,541,3.14
13/03/23,AOC Center,25447,17209,HIGH_INCOME,UNKNOWN,PS,382,1.5,309,1.8
13/03/23,AOC Center,25447,17209,HIGH_INCOME,UNKNOWN,UNKNOWN,3578,14.06,2738,15.91
13/03/23,AOC Center,25447,17209,LOW_INCOME,NPS,NPS,2724,10.7,1442,8.38
13/03/23,AOC Center,25447,17209,LOW_INCOME,NPS,PS,1779,6.99,981,5.7
13/03/23,AOC Center,25447,17209,LOW_INCOME,NPS,UNKNOWN,1599,6.28,1002,5.82
13/03/23,AOC Center,25447,17209,LOW_INCOME,PS,NPS,1198,4.71,763,4.43
13/03/23,AOC Center,25447,17209,LOW_INCOME,PS,PS,857,3.37,539,3.13
13/03/23,AOC Center,25447,17209,LOW_INCOME,PS,UNKNOWN,891,3.5,616,3.58
13/03/23,AOC Center,25447,17209,LOW_INCOME,UNKNOWN,NPS,1254,4.93,932,5.42
13/03/23,AOC Center,25447,17209,LOW_INCOME,UNKNOWN,PS,789,3.1,617,3.59
13/03/23,AOC Center,25447,17209,LOW_INCOME,UNKNOWN,UNKNOWN,2018,7.93,1819,10.57
13/03/23,AOC Center,25447,17209,UNKNOWN,NPS,NPS,424,1.67,235,1.37
13/03/23,AOC Center,25447,17209,UNKNOWN,NPS,PS,249,0.98,146,0.85
13/03/23,AOC Center,25447,17209,UNKNOWN,NPS,UNKNOWN,205,0.81,127,0.74
13/03/23,AOC Center,25447,17209,UNKNOWN,PS,NPS,209,0.82,120,0.7
13/03/23,AOC Center,25447,17209,UNKNOWN,PS,PS,142,0.56,89,0.52
13/03/23,AOC Center,25447,17209,UNKNOWN,PS,UNKNOWN,125,0.49,82,0.48
13/03/23,AOC Center,25447,17209,UNKNOWN,UNKNOWN,NPS,183,0.72,147,0.85
13/03/23,AOC Center,25447,17209,UNKNOWN,UNKNOWN,PS,127,0.5,97,0.56
13/03/23,AOC Center,25447,17209,UNKNOWN,UNKNOWN,UNKNOWN,901,3.54,683,3.97
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,NPS,NPS,1329,5.35,863,4.68
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,NPS,PS,859,3.46,587,3.18
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,NPS,UNKNOWN,1012,4.07,689,3.74
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,PS,NPS,707,2.85,480,2.6
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,PS,PS,407,1.64,283,1.53
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,PS,UNKNOWN,562,2.26,424,2.3
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,UNKNOWN,NPS,767,3.09,625,3.39
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,UNKNOWN,PS,492,1.98,389,2.11
13/03/23,Shamshabad,24844,18438,HIGH_INCOME,UNKNOWN,UNKNOWN,3145,12.66,2586,14.03
13/03/23,Shamshabad,24844,18438,LOW_INCOME,NPS,NPS,2331,9.38,1482,8.04
13/03/23,Shamshabad,24844,18438,LOW_INCOME,NPS,PS,1412,5.68,910,4.94
13/03/23,Shamshabad,24844,18438,LOW_INCOME,NPS,UNKNOWN,1863,7.5,1251,6.78
13/03/23,Shamshabad,24844,18438,LOW_INCOME,PS,NPS,1239,4.99,808,4.38
13/03/23,Shamshabad,24844,18438,LOW_INCOME,PS,PS,660,2.66,458,2.48
13/03/23,Shamshabad,24844,18438,LOW_INCOME,PS,UNKNOWN,1028,4.14,735,3.99
13/03/23,Shamshabad,24844,18438,LOW_INCOME,UNKNOWN,NPS,1427,5.74,1167,6.33
13/03/23,Shamshabad,24844,18438,LOW_INCOME,UNKNOWN,PS,829,3.34,680,3.69
13/03/23,Shamshabad,24844,18438,LOW_INCOME,UNKNOWN,UNKNOWN,2281,9.18,2124,11.52
13/03/23,Shamshabad,24844,18438,UNKNOWN,NPS,NPS,399,1.61,260,1.41
13/03/23,Shamshabad,24844,18438,UNKNOWN,NPS,PS,240,0.97,159,0.86
13/03/23,Shamshabad,24844,18438,UNKNOWN,NPS,UNKNOWN,290,1.17,201,1.09
13/03/23,Shamshabad,24844,18438,UNKNOWN,PS,NPS,192,0.77,134,0.73
13/03/23,Shamshabad,24844,18438,UNKNOWN,PS,PS,102,0.41,70,0.38
13/03/23,Shamshabad,24844,18438,UNKNOWN,PS,UNKNOWN,153,0.62,118,0.64
13/03/23,Shamshabad,24844,18438,UNKNOWN,UNKNOWN,NPS,186,0.75,166,0.9
13/03/23,Shamshabad,24844,18438,UNKNOWN,UNKNOWN,PS,113,0.45,89,0.48
13/03/23,Shamshabad,24844,18438,UNKNOWN,UNKNOWN,UNKNOWN,819,3.3,700,3.8
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,NPS,NPS,1692,7.06,992,6.05
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,NPS,PS,1133,4.72,679,4.14
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,NPS,UNKNOWN,1098,4.58,753,4.59
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,PS,NPS,733,3.06,489,2.98
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,PS,PS,465,1.94,337,2.06
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,PS,UNKNOWN,563,2.35,408,2.49
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,UNKNOWN,NPS,437,1.82,361,2.2
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,UNKNOWN,PS,311,1.3,261,1.59
13/03/23,Banjara Hills,23979,16392,HIGH_INCOME,UNKNOWN,UNKNOWN,3598,15,2693,16.43
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,NPS,NPS,2561,10.68,1517,9.25
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,NPS,PS,1463,6.1,910,5.55
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,NPS,UNKNOWN,2192,9.14,1334,8.14
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,PS,NPS,1205,5.03,783,4.78
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,PS,PS,733,3.06,463,2.82
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,PS,UNKNOWN,979,4.08,692,4.22
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,UNKNOWN,NPS,624,2.6,517,3.15
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,UNKNOWN,PS,405,1.69,343,2.09
13/03/23,Banjara Hills,23979,16392,LOW_INCOME,UNKNOWN,UNKNOWN,1207,5.03,1113,6.79
13/03/23,Banjara Hills,23979,16392,UNKNOWN,NPS,NPS,430,1.79,245,1.49
13/03/23,Banjara Hills,23979,16392,UNKNOWN,NPS,PS,282,1.18,171,1.04
13/03/23,Banjara Hills,23979,16392,UNKNOWN,NPS,UNKNOWN,330,1.38,213,1.3
13/03/23,Banjara Hills,23979,16392,UNKNOWN,PS,NPS,166,0.69,118,0.72
13/03/23,Banjara Hills,23979,16392,UNKNOWN,PS,PS,160,0.67,98,0.6
13/03/23,Banjara Hills,23979,16392,UNKNOWN,PS,UNKNOWN,186,0.78,120,0.73
13/03/23,Banjara Hills,23979,16392,UNKNOWN,UNKNOWN,NPS,112,0.47,94,0.57
13/03/23,Banjara Hills,23979,16392,UNKNOWN,UNKNOWN,PS,74,0.31,61,0.37
13/03/23,Banjara Hills,23979,16392,UNKNOWN,UNKNOWN,UNKNOWN,840,3.5,627,3.83
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,NPS,NPS,1398,6.47,850,5.45
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,NPS,PS,914,4.23,556,3.57
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,NPS,UNKNOWN,935,4.33,712,4.57
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,PS,NPS,663,3.07,465,2.98
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,PS,PS,418,1.94,285,1.83
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,PS,UNKNOWN,568,2.63,413,2.65
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,UNKNOWN,NPS,461,2.13,376,2.41
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,UNKNOWN,PS,327,1.51,250,1.6
13/03/23,Kukatpally 3,21599,15594,HIGH_INCOME,UNKNOWN,UNKNOWN,3105,14.38,2504,16.06
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,NPS,NPS,1997,9.25,1220,7.82
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,NPS,PS,1269,5.88,763,4.89
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,NPS,UNKNOWN,1727,8,1168,7.49
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,PS,NPS,1079,5,708,4.54
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,PS,PS,695,3.22,440,2.82
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,PS,UNKNOWN,917,4.25,718,4.6
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,UNKNOWN,NPS,755,3.5,600,3.85
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,UNKNOWN,PS,483,2.24,369,2.37
13/03/23,Kukatpally 3,21599,15594,LOW_INCOME,UNKNOWN,UNKNOWN,1584,7.33,1468,9.41
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,NPS,NPS,351,1.63,218,1.4
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,NPS,PS,227,1.05,149,0.96
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,NPS,UNKNOWN,269,1.25,211,1.35
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,PS,NPS,185,0.86,130,0.83
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,PS,PS,126,0.58,97,0.62
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,PS,UNKNOWN,154,0.71,120,0.77
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,UNKNOWN,NPS,114,0.53,91,0.58
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,UNKNOWN,PS,80,0.37,55,0.35
13/03/23,Kukatpally 3,21599,15594,UNKNOWN,UNKNOWN,UNKNOWN,798,3.69,658,4.22
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,NPS,NPS,1285,6.43,754,5.44
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,NPS,PS,710,3.55,432,3.12
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,NPS,UNKNOWN,835,4.18,603,4.35
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,PS,NPS,658,3.29,432,3.12
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,PS,PS,356,1.78,242,1.75
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,PS,UNKNOWN,530,2.65,377,2.72
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,UNKNOWN,NPS,584,2.92,458,3.3
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,UNKNOWN,PS,277,1.39,218,1.57
13/03/23,Ameenpur,19978,13865,HIGH_INCOME,UNKNOWN,UNKNOWN,3039,15.21,2359,17.01
13/03/23,Ameenpur,19978,13865,LOW_INCOME,NPS,NPS,1873,9.38,1090,7.86
13/03/23,Ameenpur,19978,13865,LOW_INCOME,NPS,PS,969,4.85,577,4.16
13/03/23,Ameenpur,19978,13865,LOW_INCOME,NPS,UNKNOWN,1404,7.03,875,6.31
13/03/23,Ameenpur,19978,13865,LOW_INCOME,PS,NPS,974,4.88,562,4.05
13/03/23,Ameenpur,19978,13865,LOW_INCOME,PS,PS,591,2.96,361,2.6
13/03/23,Ameenpur,19978,13865,LOW_INCOME,PS,UNKNOWN,813,4.07,572,4.13
13/03/23,Ameenpur,19978,13865,LOW_INCOME,UNKNOWN,NPS,884,4.42,663,4.78
13/03/23,Ameenpur,19978,13865,LOW_INCOME,UNKNOWN,PS,396,1.98,325,2.34
13/03/23,Ameenpur,19978,13865,LOW_INCOME,UNKNOWN,UNKNOWN,1625,8.13,1465,10.57
13/03/23,Ameenpur,19978,13865,UNKNOWN,NPS,NPS,337,1.69,189,1.36
13/03/23,Ameenpur,19978,13865,UNKNOWN,NPS,PS,198,0.99,116,0.84
13/03/23,Ameenpur,19978,13865,UNKNOWN,NPS,UNKNOWN,244,1.22,163,1.18
13/03/23,Ameenpur,19978,13865,UNKNOWN,PS,NPS,163,0.82,100,0.72
13/03/23,Ameenpur,19978,13865,UNKNOWN,PS,PS,113,0.57,71,0.51
13/03/23,Ameenpur,19978,13865,UNKNOWN,PS,UNKNOWN,151,0.76,112,0.81
13/03/23,Ameenpur,19978,13865,UNKNOWN,UNKNOWN,NPS,178,0.89,114,0.82
13/03/23,Ameenpur,19978,13865,UNKNOWN,UNKNOWN,PS,73,0.37,57,0.41
13/03/23,Ameenpur,19978,13865,UNKNOWN,UNKNOWN,UNKNOWN,718,3.59,578,4.17
13/03/23,Golconda,19526,14528,HIGH_INCOME,NPS,NPS,1214,6.22,769,5.29
13/03/23,Golconda,19526,14528,HIGH_INCOME,NPS,PS,722,3.7,497,3.42
13/03/23,Golconda,19526,14528,HIGH_INCOME,NPS,UNKNOWN,644,3.3,476,3.28
13/03/23,Golconda,19526,14528,HIGH_INCOME,PS,NPS,561,2.87,377,2.59
13/03/23,Golconda,19526,14528,HIGH_INCOME,PS,PS,382,1.96,256,1.76
13/03/23,Golconda,19526,14528,HIGH_INCOME,PS,UNKNOWN,422,2.16,320,2.2
13/03/23,Golconda,19526,14528,HIGH_INCOME,UNKNOWN,NPS,694,3.55,553,3.81
13/03/23,Golconda,19526,14528,HIGH_INCOME,UNKNOWN,PS,419,2.15,345,2.37
13/03/23,Golconda,19526,14528,HIGH_INCOME,UNKNOWN,UNKNOWN,3175,16.26,2519,17.34
13/03/23,Golconda,19526,14528,LOW_INCOME,NPS,NPS,1819,9.32,1200,8.26
13/03/23,Golconda,19526,14528,LOW_INCOME,NPS,PS,1175,6.02,757,5.21
13/03/23,Golconda,19526,14528,LOW_INCOME,NPS,UNKNOWN,999,5.12,718,4.94
13/03/23,Golconda,19526,14528,LOW_INCOME,PS,NPS,886,4.54,592,4.07
13/03/23,Golconda,19526,14528,LOW_INCOME,PS,PS,544,2.79,381,2.62
13/03/23,Golconda,19526,14528,LOW_INCOME,PS,UNKNOWN,626,3.21,475,3.27
13/03/23,Golconda,19526,14528,LOW_INCOME,UNKNOWN,NPS,1145,5.86,918,6.32
13/03/23,Golconda,19526,14528,LOW_INCOME,UNKNOWN,PS,612,3.13,516,3.55
13/03/23,Golconda,19526,14528,LOW_INCOME,UNKNOWN,UNKNOWN,1412,7.23,1306,8.99
13/03/23,Golconda,19526,14528,UNKNOWN,NPS,NPS,329,1.68,204,1.4
13/03/23,Golconda,19526,14528,UNKNOWN,NPS,PS,227,1.16,132,0.91
13/03/23,Golconda,19526,14528,UNKNOWN,NPS,UNKNOWN,189,0.97,130,0.89
13/03/23,Golconda,19526,14528,UNKNOWN,PS,NPS,155,0.79,109,0.75
13/03/23,Golconda,19526,14528,UNKNOWN,PS,PS,76,0.39,60,0.41
13/03/23,Golconda,19526,14528,UNKNOWN,PS,UNKNOWN,100,0.51,78,0.54
13/03/23,Golconda,19526,14528,UNKNOWN,UNKNOWN,NPS,177,0.91,138,0.95
13/03/23,Golconda,19526,14528,UNKNOWN,UNKNOWN,PS,122,0.62,101,0.7
13/03/23,Golconda,19526,14528,UNKNOWN,UNKNOWN,UNKNOWN,700,3.58,601,4.14
13/03/23,Nagole,18251,12630,HIGH_INCOME,NPS,NPS,1057,5.79,604,4.78
13/03/23,Nagole,18251,12630,HIGH_INCOME,NPS,PS,568,3.11,354,2.8
13/03/23,Nagole,18251,12630,HIGH_INCOME,NPS,UNKNOWN,1032,5.65,673,5.33
13/03/23,Nagole,18251,12630,HIGH_INCOME,PS,NPS,570,3.12,364,2.88
13/03/23,Nagole,18251,12630,HIGH_INCOME,PS,PS,387,2.12,260,2.06
13/03/23,Nagole,18251,12630,HIGH_INCOME,PS,UNKNOWN,595,3.26,437,3.46
13/03/23,Nagole,18251,12630,HIGH_INCOME,UNKNOWN,NPS,320,1.75,259,2.05
13/03/23,Nagole,18251,12630,HIGH_INCOME,UNKNOWN,PS,190,1.04,153,1.21
13/03/23,Nagole,18251,12630,HIGH_INCOME,UNKNOWN,UNKNOWN,2972,16.28,2283,18.08
13/03/23,Nagole,18251,12630,LOW_INCOME,NPS,NPS,1563,8.56,907,7.18
13/03/23,Nagole,18251,12630,LOW_INCOME,NPS,PS,952,5.22,549,4.35
13/03/23,Nagole,18251,12630,LOW_INCOME,NPS,UNKNOWN,1565,8.57,1011,8
13/03/23,Nagole,18251,12630,LOW_INCOME,PS,NPS,865,4.74,539,4.27
13/03/23,Nagole,18251,12630,LOW_INCOME,PS,PS,536,2.94,328,2.6
13/03/23,Nagole,18251,12630,LOW_INCOME,PS,UNKNOWN,874,4.79,598,4.73
13/03/23,Nagole,18251,12630,LOW_INCOME,UNKNOWN,NPS,549,3.01,450,3.56
13/03/23,Nagole,18251,12630,LOW_INCOME,UNKNOWN,PS,365,2,287,2.27
13/03/23,Nagole,18251,12630,LOW_INCOME,UNKNOWN,UNKNOWN,1470,8.05,1312,10.39
13/03/23,Nagole,18251,12630,UNKNOWN,NPS,NPS,282,1.55,146,1.16
13/03/23,Nagole,18251,12630,UNKNOWN,NPS,PS,141,0.77,85,0.67
13/03/23,Nagole,18251,12630,UNKNOWN,NPS,UNKNOWN,264,1.45,170,1.35
13/03/23,Nagole,18251,12630,UNKNOWN,PS,NPS,128,0.7,88,0.7
13/03/23,Nagole,18251,12630,UNKNOWN,PS,PS,81,0.44,54,0.43
13/03/23,Nagole,18251,12630,UNKNOWN,PS,UNKNOWN,119,0.65,101,0.8
13/03/23,Nagole,18251,12630,UNKNOWN,UNKNOWN,NPS,105,0.58,75,0.59
13/03/23,Nagole,18251,12630,UNKNOWN,UNKNOWN,PS,64,0.35,50,0.4
13/03/23,Nagole,18251,12630,UNKNOWN,UNKNOWN,UNKNOWN,637,3.49,493,3.9
13/03/23,Manikonda,17696,12078,HIGH_INCOME,NPS,NPS,1199,6.78,726,6.01
13/03/23,Manikonda,17696,12078,HIGH_INCOME,NPS,PS,887,5.01,531,4.4
13/03/23,Manikonda,17696,12078,HIGH_INCOME,NPS,UNKNOWN,865,4.89,566,4.69
13/03/23,Manikonda,17696,12078,HIGH_INCOME,PS,NPS,615,3.48,396,3.28
